episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,40.02061100104509,40,False,False,0,0.25032204
1,-287.8805172039041,40,False,True,38,0.2518669
2,-336.6793889989547,40,False,True,38,0.27063453
3,-229.77938899895491,40,False,False,27,0.25344706
4,40.119482796095646,40,False,False,0,0.2518669
5,-246.68032151901173,40,False,True,29,0.26749498
6,42.02061100104507,40,False,False,0,0.25032204
7,-197.8805172039043,40,False,False,24,0.2518669
8,42.02061100104507,40,False,False,0,0.25032204
9,-75.18032152989478,40,False,True,12,0.28624496
10,42.02061100104507,40,False,False,0,0.25032204
11,42.11948279609562,40,False,False,0,0.2518669
12,42.02061100104507,40,False,False,0,0.25032204
13,42.11948279609562,40,False,False,0,0.2518669
14,42.02061100104507,40,False,False,0,0.25032204
15,40.119482796095646,40,False,False,0,0.2518669
16,42.02061100104507,40,False,False,0,0.25032204
17,-257.27938901138316,40,False,False,30,0.26125956
18,-347.9793889989547,40,False,True,39,0.25032204
19,40.02061100104509,40,False,False,0,0.25032204
