episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,-157.3805132079826,40,False,True,25,0.25967947
1,-287.9308076810182,40,False,False,33,0.25029987
2,-316.27938899895486,40,False,True,36,0.27688456
3,-288.0799054785393,40,False,False,33,0.25029987
4,41.46948279608284,40,False,False,0,0.25184473
5,-237.8805172039041,40,False,False,28,0.2518669
6,42.02061100104507,40,False,False,0,0.25032204
7,-205.15112420902773,13,True,False,12,0.30224955
8,42.02061100104507,40,False,False,0,0.25032204
9,-115.60244551928368,4,True,False,2,0.26763245
10,-326.27938899895474,40,False,True,37,0.27688456
11,44.02061100104512,40,False,False,0,0.25032204
12,42.02061100104507,40,False,False,0,0.25032204
13,-206.88051320798257,40,False,True,25,0.267492
14,-132.90112420902773,6,True,False,4,0.29243293
15,-57.979388998954974,40,False,False,10,0.25032204
16,42.02061100104507,40,False,False,0,0.25032204
17,-176.67938899895483,40,False,False,22,0.27063456
18,-116.55112416574016,3,True,False,2,0.25944543
19,40.02061100104509,40,False,False,0,0.25032204
