episode,total_reward,episode_length,collision_occurred,overtaking_complete,total_violations,avg_speed
0,-87.38051320798267,40,False,True,18,0.25967947
1,-287.9308076810182,40,False,False,33,0.25029987
2,-316.27938899895486,40,False,True,36,0.27688456
3,-288.0799054785393,40,False,False,33,0.25029987
4,-158.38051720646573,40,False,False,20,0.25184473
5,-287.8805172039041,40,False,False,33,0.2518669
6,42.02061100104507,40,False,False,0,0.25032204
7,-195.15112420902773,13,True,False,11,0.29891133
8,42.02061100104507,40,False,False,0,0.25032204
9,-115.60244551928368,4,True,False,2,0.26763245
10,-336.97938899895485,40,False,False,38,0.26594704
11,43.420611001045074,40,False,False,0,0.25029987
12,42.02061100104507,40,False,False,0,0.25032204
13,-136.98051320798265,40,False,True,18,0.26592946
14,-132.90112420902773,6,True,False,4,0.2902907
15,42.02061100104507,40,False,False,0,0.25032204
16,2.020611001045083,40,False,False,4,0.25032204
17,-95.97938899895487,40,False,True,14,0.28157204
18,-116.55112416574016,3,True,False,2,0.25944543
19,40.02061100104509,40,False,False,0,0.25032204
